X1	X2	Y	Set
0.7084540919732558	-1.5522151430731141	YES	Train
0.5586484193205603	1.3881215833043123	NO	Train
0.4456403013923402	-0.739217929061411	NO	Train
-0.6627358958401897	2.0026269287507015	NO	Train
0.9599075313239975	1.1294972606905014	NO	Train
0.18378586490440146	-1.3955338701401765	YES	Train
0.8585068411255058	0.8696078844241107	NO	Train
-0.035297082194047126	-1.6905844418517086	YES	Train
-0.5012777553760472	0.22782949098924637	NO	Train
-0.30441707971509	0.20667991624438453	NO	Train
1.3701983542672722	-1.0461708996899552	YES	Train
-0.8455164583780918	-1.4502959364571826	YES	Train
0.12763045621338215	-1.2702998659014	YES	Train
1.7137009820125946	0.07639911905654737	YES	Train
0.11778411635103074	1.9236568020718383	NO	Train
-0.40070351306196417	2.2090603476560884	NO	Train
-1.460822572042138	0.6752720116150147	NO	Train
0.6597699729475085	-0.7520807778126316	NO	Train
0.1837864953469154	1.121607751340099	NO	Train
-0.07416272533091181	1.8724652249571694	NO	Train
-1.0826965479556458	-0.6523386964669157	YES	Train
-0.9257341870231549	1.327324183019046	NO	Train
0.16935951110828776	-0.6037527708462099	NO	Train
0.15245984088905526	0.09645329536713737	NO	Train
-1.1396204229063096	1.6030639469701877	NO	Train
0.8119755643613038	-0.9540583339978012	YES	Train
0.6241452171886911	0.3167463746510344	NO	Train
-0.7836183088922972	0.4481107037308792	NO	Train
1.5256419054802308	0.6205668679597219	YES	Train
0.5317078071684016	1.5265089533028475	NO	Train
1.210924420212698	-1.2381375039528875	YES	Train
-1.2246372400009824	0.32931551898715533	YES	Train
0.9940661996234138	1.3051019095541494	NO	Train
0.03245135946520946	1.7221138925305388	NO	Train
-1.1388023137766805	-0.1299587406719119	YES	Train
-1.9985181354871184	0.053211373521114304	YES	Train
1.8768476633537132	-0.07888576335621271	YES	Train
-0.4094173412026815	0.05755102947842435	NO	Train
0.6746269780020738	1.2143792427022027	NO	Train
1.1303929869550688	0.1661964516252263	NO	Train
-0.3599648419534592	1.6141440984934567	NO	Train
0.46005745519105967	-0.5902032728541372	NO	Train
-0.6276796738452181	-0.9164668934627003	YES	Train
-0.038272250532098685	0.21099797816531352	NO	Train
1.3588534710484208	-1.0126048911470413	YES	Train
0.9511291140981294	1.6149307278290674	NO	Train
1.0720323346895861	-0.8248334536936871	NO	Train
-0.11914191810713341	0.7319376231773336	NO	Train
1.0973176197436232	0.8251700246275082	YES	Train
-0.18567221533465633	-0.6417070882102256	YES	Train
1.2989143208099079	0.5686283853004597	YES	Train
-0.057039931610352125	-1.9652784968433363	YES	Train
0.007095188241852197	1.0491416307421997	NO	Train
0.08053480889631012	0.001495095248203224	NO	Train
1.8372928637429191	-0.37126926670324895	YES	Train
-0.7530683922055749	-0.4236715914514326	NO	Train
1.197756955287961	-0.784554041021518	NO	Train
1.037259517893465	-0.44129196967683576	YES	Train
-1.3882565341730422	0.0016675795759246183	YES	Train
-1.2152639845534927	1.5180588608235872	NO	Train
0.2898217540454427	-0.30684247085565036	NO	Train
0.38484169533136686	-2.04819035859705	YES	Train
0.6625188385568923	1.3499567425675567	NO	Train
-0.5482245930068815	-0.9447540746897334	YES	Train
-2.1886213820830234	1.083214703271344	NO	Train
1.1779166721452303	-1.2115652776904469	YES	Train
1.2095455575729963	0.19507608174249974	YES	Train
0.28880345049420075	-0.2597627020812348	NO	Train
-0.7799393714388321	0.0839400492342951	NO	Train
0.5732459839200554	1.236015212609672	NO	Train
